,Bird_ID,rhythm_entropy,peak_freq_cv
0,Y855_51,-0.18313603981204807,0.09255070733920191
0,S856_51,-0.1138722913871586,0.04626067649063389
0,Y856_50,-0.2114558553190271,0.08926130516353725
0,S855_51,-0.17473624354226658,0.11520141873505683
0,S833_51,-0.08908587838551973,0.06806376951931999
0,O833_51,-0.2599575129616678,0.08519215337688592
0,notag833_51,-0.12578493323347573,0.10644266691242567
0,O883_51,-0.1049051096708773,0.06485101958250368
0,R833_51,-0.15138132747341082,0.04891445622944744
0,O472_50,-0.04027114195590187,0.06623901443539412
0,Y472_50,-0.10768146111996657,0.07663530080739325
