,Bird_ID,rhythm_entropy,peak_freq_cv
0,B145,-0.13157364455211606,0.07944747801682522
0,B236,-0.17527753162393012,0.07248422107351964
0,B258,-0.46863046057439206,0.04294315488877683
0,B385,-0.2680794200968908,0.09750938471078574
0,B402,-0.297027025604093,0.1125860740192117
0,B447,-0.5497069251711011,0.06459669721038598
0,B507,-0.2572443489014855,0.060428840540314506
0,G255,-0.20474112303641157,0.08904906506805117
0,G397,-0.27401900655967815,0.07626667593878236
0,G402,-0.4311457264415175,0.05584686648627812
0,G413,-0.15747067033944795,0.13463234660707762
0,G437,-0.34342826332365384,0.02626227954990345
0,G439,-0.321102894172439,0.05144802633482939
0,G524,-0.5057543950413965,0.06766910318264803
0,G528,-0.3199629661497063,0.04838271849210902
0,O144,-0.15107413354471078,0.09730737198400949
0,O254,-0.3167695655977987,0.05966856438982626
0,O421,-0.2793430564462973,0.07767323543449564
0,O440,-0.36882064285572014,0.03993906976933565
0,O512,-0.3234971051247726,0.03844064709521163
0,R402,-0.30381317579254663,0.031222927197705693
0,R425,-0.4528578926446656,0.05646118267552238
0,R469,-0.46812918206333265,0.02928549172221486
0,S132,-0.37036513096514234,0.04372257049790772
0,S421,-0.2680543593966185,0.08678731875535793
0,S525,-0.3541559293738388,0.02229985403916489
0,S528,-0.3461472892522348,0.02140642660708428
0,Y389,-0.14752604380214684,0.11265754307175786
0,Y397,-0.19781456299812028,0.04474662213628171
0,Y425,-0.4677549136709036,0.06290695314383372
0,Y440,-0.3689843581308043,0.05503008165720268
0,B524,-0.2894869915806293,0.076846264917863
0,O434,-0.5137937743458156,0.0519529714906206
0,S389,-0.2637256758478692,0.08179598130321036
0,Y433,-0.7412313135530582,0.015100216237836282
0,Y453,-0.23441798775106193,0.06571210156627151
