,Bird_ID,entropy_rate,entropy_rate_norm,num_syllables
0,B145,0.806749944529545,0.2545012718479064,8
0,B236,2.0403590916321406,0.6436616294403746,8
0,B258,1.2130797170396939,0.40435990567989794,7
0,B385,0.8108572355826136,0.207545416422473,14
0,B402,1.595923825922562,0.48042094239751315,9
0,B447,0.8303567382121098,0.2619483861082828,8
0,B507,1.6025095480151315,0.5341698493383772,7
0,G255,1.4042548459373818,0.4680849486457939,7
0,G397,1.79614729046425,0.5666213836753251,8
0,G402,0.7693101544402192,0.2426903330804937,8
0,G413,2.06419003478023,0.6880633449267434,7
0,G437,0.8011732353040916,0.3099361151585678,5
0,G439,0.9851154552868759,0.3107693257217914,8
0,G524,0.672730723623051,0.20251212681527397,9
0,G528,0.7572190517192493,0.2524063505730831,7
0,O144,1.3135191074055736,0.3954086512068563,9
0,O254,1.0703159231867816,0.3812542243152894,6
0,O421,1.2991140546816156,0.4627537631506356,6
0,O440,0.6213892451768289,0.17333214644555678,11
0,O512,1.4384211313196462,0.45377134495774074,8
0,R402,0.4787162608587543,0.1441079539305881,9
0,R425,0.6856220141384454,0.20639279194322627,9
0,R469,0.8632645951055236,0.2877548650351745,7
0,S132,0.9503798720083548,0.40930633213879014,4
0,S421,1.653802879909819,0.5890964718838229,6
0,S525,0.8349068814105521,0.2513320148908466,9
0,S528,0.8355493862005138,0.26358648416613634,8
0,Y389,1.3864937564144573,0.43739008203146895,8
0,Y397,1.0002809275062519,0.3563072555048054,6
0,Y425,0.6121884537226222,0.18428708756966033,9
0,Y440,0.8376802283773295,0.24214388972582138,10
0,B524,0.6317199378038463,0.24438263132544796,5
0,O434,0.7120602198658319,0.22462998952399357,8
0,S389,0.6394212764016266,0.20171495417421254,8
0,Y433,0.6547003745197556,0.23320897880625077,6
0,Y453,2.108994337986194,0.634870556419345,9
