,Bird_ID,entropy_rate,entropy_rate_norm,num_syllables
0,B145,1.5932577583912864,0.44442801230718154,11
0,B236,2.7021648603244572,0.753749825773878,11
0,B258,1.214872078469892,0.43274616576783664,6
0,B385,1.356556596169616,0.3562989592355876,13
0,B402,2.085102295892162,0.6276783350913747,9
0,B447,0.9164816569507976,0.2891177729863639,8
0,B507,1.8065719162419116,0.5438323361129729,9
0,G255,1.55523801982977,0.5539869603270128,6
0,G397,1.984562018123053,0.6615206727076843,7
0,G402,1.113246161609255,0.31053216355409935,11
0,G413,2.405303430834309,0.6952886184759394,10
0,G437,1.1027859399154625,0.3187766261874719,10
0,G439,1.3976603951976694,0.40401445938920477,10
0,G524,0.8797962575503964,0.27754481798468106,8
0,G528,1.0110277240162884,0.3911189132276505,5
0,O144,1.3085698633651255,0.43618995445504183,7
0,O254,1.1299982707628136,0.4866637658810146,4
0,O421,1.5406047427649716,0.4860066853518611,8
0,O440,0.9355251239608323,0.260958133808273,11
0,O512,1.5028515362170678,0.500950512072356,7
0,R402,0.7377567587375157,0.232736344992969,8
0,R425,1.153962071872219,0.41104958365094846,6
0,R469,0.8991270153025308,0.2997090051008436,7
0,S132,1.1969560956177254,0.5155009314256092,4
0,S421,1.5475978946797473,0.46587338752503077,9
0,S525,1.3155693341528145,0.4150159179016008,8
0,S528,1.4100359185178206,0.5022649282565093,6
0,Y389,1.5999797078215554,0.5333265692738518,7
0,Y397,1.3675837607673627,0.4314246425846396,8
0,Y425,1.1459216139602901,0.33124563231334503,10
0,Y440,1.3923371144646917,0.40247568616868523,10
0,B524,0.8826976245422371,0.3801571747574109,4
0,O434,1.014647350646713,0.3614246786804727,6
0,S389,0.7208806705328384,0.24029355684427947,7
0,Y433,1.0503445725290392,0.3313468211554323,8
0,Y453,2.2581193293767097,0.7123573360092962,8
